Cycle,Charge_Capacity(mAh/g),Discharge_Capacity(mAh/g),CE(%),Chg.time (hr.),DChg.time (hr.),Accum.Chg.time (hr.),Accum.DChg.time (hr.)
1,291.08,262.635,90.23,60.15,19.48,60.15,19.48
2,248.045,244.425,98.54,18.93,18.67,79.08,38.15
3,241.605,239.86,99.28,9.22,9.15,88.3,47.3
4,241.485,240.46,99.58,9.21,9.17,97.51,56.47
5,233.645,232.43,99.48,4.46,4.43,101.97,60.9
6,233.315,232.715,99.75,4.45,4.44,106.42,65.34
7,214.955,214.01,99.57,2.45,2.44,108.87,67.78
8,215.345,214.955,99.82,2.46,2.45,111.33,70.23
9,184.72,183.895,99.55,1.41,1.4,112.74,71.63
10,183.325,183.1,99.87,1.4,1.4,114.14,73.03
11,150.495,148.245,98.5,0.57,0.57,114.71,73.6
12,145.78,145.825,100.03,0.56,0.56,115.27,74.16
13,101.36,96.255,94.96,0.19,0.18,115.46,74.34
14,92.565,93.135,100.62,0.18,0.18,115.64,74.52
15,246.36,252.155,102.35,3.28,1.92,118.92,76.44
16,252.89,252.335,99.78,3.36,1.92,122.28,78.36
17,253.13,252.665,99.82,3.35,1.93,125.63,80.29
18,253.415,253.01,99.83,3.34,1.93,128.97,82.22
19,253.67,253.28,99.85,3.34,1.93,132.31,84.15
20,253.88,253.52,99.86,3.33,1.93,135.64,86.08
21,254.095,253.745,99.86,3.33,1.94,138.97,88.02
22,254.275,253.945,99.87,3.33,1.94,142.3,89.96
23,254.38,254.05,99.87,3.33,1.94,145.63,91.9
24,254.515,254.2,99.87,3.33,1.94,148.96,93.84
25,254.635,254.32,99.88,3.33,1.94,152.29,95.78
26,254.71,254.41,99.88,3.33,1.94,155.62,97.72
27,254.755,254.455,99.88,3.33,1.94,158.95,99.66
28,254.8,254.515,99.89,3.33,1.94,162.28,101.6
29,254.86,254.56,99.89,3.33,1.94,165.61,103.54
30,254.905,254.62,99.89,3.33,1.94,168.94,105.48
31,254.935,254.65,99.89,3.33,1.94,172.27,107.42
32,254.95,254.665,99.89,3.33,1.94,175.6,109.36
33,254.95,254.665,99.89,3.33,1.94,178.93,111.3
34,254.95,254.68,99.89,3.33,1.94,182.26,113.24
35,254.965,254.695,99.89,3.33,1.94,185.59,115.18
36,254.86,254.59,99.9,3.33,1.94,188.92,117.12
37,254.92,254.65,99.89,3.33,1.94,192.25,119.06
38,254.905,254.635,99.89,3.33,1.94,195.58,121
39,254.92,254.65,99.89,3.33,1.94,198.91,122.94
40,254.89,254.62,99.89,3.33,1.94,202.24,124.88
41,254.86,254.59,99.9,3.33,1.94,205.57,126.82
42,254.815,254.56,99.9,3.33,1.94,208.9,128.76
43,254.83,254.56,99.89,3.34,1.94,212.24,130.7
44,254.8,254.53,99.89,3.33,1.94,215.57,132.64
45,254.8,254.515,99.89,3.34,1.94,218.91,134.58
46,254.65,254.38,99.89,3.34,1.94,222.25,136.52
47,254.59,254.335,99.9,3.34,1.94,225.59,138.46
48,254.53,254.26,99.9,3.34,1.94,228.93,140.4
49,254.5,254.23,99.9,3.34,1.94,232.27,142.34
50,254.515,254.245,99.9,3.34,1.94,235.61,144.28
51,254.455,254.185,99.9,3.34,1.94,238.95,146.22
52,254.455,254.2,99.9,3.34,1.94,242.29,148.16
53,254.41,254.14,99.89,3.34,1.94,245.63,150.1
54,254.365,254.095,99.9,3.34,1.94,248.97,152.04
55,254.365,254.095,99.89,3.34,1.94,252.31,153.98
56,254.335,254.065,99.9,3.34,1.94,255.65,155.92
57,254.29,254.02,99.89,3.34,1.94,258.99,157.86
58,254.245,253.96,99.89,3.34,1.94,262.33,159.8
59,254.17,253.915,99.9,3.34,1.94,265.67,161.74
60,254.14,253.865,99.89,3.34,1.94,269.01,163.68
61,254.125,253.835,99.89,3.35,1.94,272.36,165.62
62,254.065,253.79,99.89,3.34,1.94,275.7,167.56
63,254.035,253.775,99.9,3.35,1.94,279.05,169.5
64,254.11,253.835,99.89,3.34,1.94,282.39,171.44
65,254.095,253.805,99.89,3.34,1.94,285.73,173.38
66,254.05,253.76,99.89,3.34,1.94,289.07,175.32
