Cycle,Charge_Capacity(mAh/g),Discharge_Capacity(mAh/g),CE(%),Chg.time (hr.),DChg.time (hr.),Accum.Chg.time (hr.),Accum.DChg.time (hr.)
67,254.035,253.745,99.89,3.34,1.94,292.41,177.26
68,253.96,253.67,99.89,3.34,1.93,295.75,179.19
69,253.945,253.655,99.89,3.35,1.93,299.1,181.12
70,253.85,253.565,99.89,3.34,1.93,302.44,183.05
71,253.82,253.535,99.89,3.35,1.93,305.79,184.98
72,253.775,253.49,99.89,3.35,1.93,309.14,186.91
73,253.685,253.4,99.89,3.35,1.93,312.49,188.84
74,253.655,253.37,99.89,3.35,1.93,315.84,190.77
75,253.61,253.325,99.89,3.35,1.93,319.19,192.7
76,253.565,253.28,99.88,3.35,1.93,322.54,194.63
77,253.52,253.235,99.89,3.35,1.93,325.89,196.56
78,253.505,253.22,99.88,3.35,1.93,329.24,198.49
79,253.43,253.13,99.88,3.35,1.93,332.59,200.42
80,253.385,253.085,99.88,3.35,1.93,335.94,202.35
81,253.31,253.01,99.88,3.35,1.93,339.29,204.28
82,253.265,252.965,99.88,3.35,1.93,342.64,206.21
83,253.175,252.875,99.88,3.35,1.93,345.99,208.14
84,253.115,252.815,99.88,3.35,1.93,349.34,210.07
85,253.1,252.8,99.88,3.35,1.93,352.69,212
86,253.04,252.74,99.88,3.36,1.93,356.05,213.93
87,252.98,252.68,99.88,3.35,1.93,359.4,215.86
88,252.935,252.62,99.88,3.36,1.93,362.76,217.79
89,252.845,252.545,99.88,3.36,1.93,366.12,219.72
90,252.815,252.5,99.88,3.36,1.93,369.48,221.65
91,252.725,252.41,99.88,3.36,1.92,372.84,223.57
92,252.71,252.395,99.88,3.36,1.92,376.2,225.49
93,252.68,252.365,99.88,3.36,1.92,379.56,227.41
94,252.62,252.29,99.87,3.35,1.92,382.91,229.33
95,252.59,252.275,99.87,3.36,1.92,386.27,231.25
96,252.515,252.185,99.87,3.36,1.92,389.63,233.17
97,252.47,252.14,99.87,3.36,1.92,392.99,235.09
98,252.425,252.095,99.87,3.36,1.92,396.35,237.01
99,252.335,252.005,99.87,3.36,1.92,399.71,238.93
100,252.245,251.93,99.87,3.36,1.92,403.07,240.85
101,252.185,251.87,99.87,3.36,1.92,406.43,242.77
102,252.14,251.81,99.87,3.36,1.92,409.79,244.69
103,252.08,251.75,99.87,3.36,1.92,413.15,246.61
104,252.02,251.66,99.86,3.36,1.92,416.51,248.53
105,251.96,251.63,99.86,3.36,1.92,419.87,250.45
106,251.885,251.54,99.86,3.36,1.92,423.23,252.37
107,251.855,251.51,99.86,3.36,1.92,426.59,254.29
108,251.81,251.45,99.86,3.37,1.92,429.96,256.21
109,251.69,251.345,99.86,3.36,1.92,433.32,258.13
110,251.66,251.3,99.86,3.37,1.92,436.69,260.05
111,251.585,251.225,99.86,3.36,1.92,440.05,261.97
112,251.525,251.165,99.86,3.37,1.92,443.42,263.89
113,251.465,251.105,99.85,3.37,1.92,446.79,265.81
114,251.375,251.015,99.86,3.37,1.91,450.16,267.72
115,251.3,250.94,99.85,3.37,1.91,453.53,269.63
116,251.255,250.88,99.85,3.37,1.91,456.9,271.54
117,251.225,250.85,99.85,3.37,1.91,460.27,273.45
118,251.135,250.76,99.85,3.37,1.91,463.64,275.36
119,251.09,250.715,99.85,3.37,1.91,467.01,277.27
120,251.045,250.655,99.85,3.37,1.91,470.38,279.18
121,250.94,250.55,99.85,3.37,1.91,473.75,281.09
122,250.88,250.49,99.85,3.37,1.91,477.12,283
123,250.745,250.385,99.86,3.37,1.91,480.49,284.91
124,250.625,250.25,99.85,3.37,1.91,483.86,286.82
125,250.595,250.205,99.85,3.37,1.91,487.23,288.73
126,250.565,250.175,99.84,3.37,1.91,490.6,290.64
127,250.445,250.07,99.85,3.38,1.91,493.98,292.55
128,250.34,249.965,99.85,3.37,1.91,497.35,294.46
129,250.235,249.845,99.84,3.38,1.91,500.73,296.37
130,250.16,249.77,99.84,3.38,1.9,504.11,298.27
131,250.055,249.665,99.85,3.38,1.9,507.49,300.17
132,249.935,249.56,99.85,3.38,1.9,510.87,302.07
133,249.875,249.485,99.84,3.38,1.9,514.25,303.97
134,249.785,249.38,99.84,3.38,1.9,517.63,305.87
135,249.68,249.29,99.84,3.38,1.9,521.01,307.77
136,249.62,249.245,99.85,3.38,1.9,524.39,309.67
137,249.56,249.155,99.84,3.38,1.9,527.77,311.57
138,249.485,249.095,99.84,3.38,1.9,531.15,313.47
139,249.395,249.005,99.84,3.38,1.9,534.53,315.37
140,249.23,248.81,99.83,3.38,1.9,537.91,317.27
141,249.095,248.705,99.84,3.38,1.9,541.29,319.17
142,249.035,248.645,99.84,3.38,1.9,544.67,321.07
143,248.96,248.555,99.84,3.38,1.9,548.05,322.97
144,248.825,248.42,99.84,3.38,1.89,551.43,324.86
145,248.78,248.375,99.84,3.38,1.89,554.81,326.75
146,248.63,248.225,99.84,3.38,1.89,558.19,328.64
147,248.57,248.165,99.84,3.39,1.89,561.58,330.53
148,248.48,248.06,99.83,3.38,1.89,564.96,332.42
149,248.405,248,99.83,3.39,1.89,568.35,334.31
150,248.315,247.895,99.83,3.38,1.89,571.73,336.2
151,248.3,247.88,99.83,3.39,1.89,575.12,338.09
152,248.195,247.775,99.83,3.39,1.89,578.51,339.98
153,248.03,247.59,99.83,3.38,1.89,581.89,341.87
154,248,247.575,99.83,3.39,1.89,585.28,343.76
155,247.895,247.455,99.83,3.39,1.89,588.67,345.65
156,247.775,247.35,99.83,3.39,1.89,592.06,347.54
157,247.67,247.245,99.83,3.39,1.89,595.45,349.43
158,247.515,247.08,99.83,3.38,1.88,598.83,351.31
159,247.485,247.05,99.82,3.39,1.88,602.22,353.19
160,247.365,246.93,99.82,3.39,1.88,605.61,355.07
161,247.305,246.87,99.82,3.39,1.88,609,356.95
162,247.185,246.75,99.82,3.39,1.88,612.39,358.83
163,247.065,246.63,99.82,3.39,1.88,615.78,360.71
164,247.005,246.57,99.82,3.39,1.88,619.17,362.59
165,246.9,246.45,99.82,3.39,1.88,622.56,364.47
166,246.765,246.315,99.82,3.39,1.88,625.95,366.35
167,246.66,246.21,99.82,3.39,1.88,629.34,368.23
168,246.6,246.135,99.82,3.39,1.88,632.73,370.11
169,246.48,246.015,99.81,3.39,1.88,636.12,371.99
170,246.405,245.94,99.81,3.39,1.88,639.51,373.87
171,246.3,245.835,99.81,3.39,1.88,642.9,375.75
172,246.15,245.7,99.82,3.39,1.87,646.29,377.62
173,246.03,245.565,99.81,3.39,1.87,649.68,379.49
174,245.895,245.445,99.81,3.39,1.87,653.07,381.36
175,245.835,245.355,99.81,3.39,1.87,656.46,383.23
176,245.73,245.25,99.81,3.39,1.87,659.85,385.1
177,245.625,245.16,99.81,3.39,1.87,663.24,386.97
178,245.46,244.98,99.81,3.39,1.87,666.63,388.84
179,245.34,244.86,99.81,3.39,1.87,670.02,390.71
180,245.22,244.74,99.81,3.39,1.87,673.41,392.58
181,245.1,244.62,99.8,3.39,1.87,676.8,394.45
182,244.98,244.5,99.8,3.39,1.86,680.19,396.31
183,244.86,244.38,99.81,3.39,1.86,683.58,398.17
184,244.71,244.23,99.8,3.39,1.86,686.97,400.03
185,244.605,244.125,99.8,3.39,1.86,690.36,401.89
186,244.515,244.035,99.8,3.39,1.86,693.75,403.75
187,244.395,243.9,99.8,3.39,1.86,697.14,405.61
188,244.29,243.795,99.8,3.39,1.86,700.53,407.47
189,244.2,243.69,99.8,3.39,1.86,703.92,409.33
190,244.08,243.6,99.8,3.38,1.86,707.3,411.19
191,244.035,243.525,99.79,3.38,1.86,710.68,413.05
192,243.885,243.39,99.79,3.38,1.86,714.06,414.91
193,243.825,243.315,99.79,3.38,1.86,717.44,416.77
194,243.72,243.21,99.79,3.38,1.86,720.82,418.63
195,243.57,243.06,99.79,3.38,1.85,724.2,420.48
196,243.405,242.895,99.79,3.37,1.85,727.57,422.33
197,243.315,242.805,99.79,3.38,1.85,730.95,424.18
198,243.195,242.685,99.79,3.38,1.85,734.33,426.03
199,243.03,242.52,99.79,3.38,1.85,737.71,427.88
200,242.865,242.34,99.79,3.37,1.85,741.08,429.73
201,242.76,242.25,99.79,3.38,1.85,744.46,431.58
202,242.61,242.085,99.78,3.38,1.85,747.84,433.43
203,242.52,241.98,99.78,3.38,1.85,751.22,435.28
204,242.355,241.83,99.78,3.38,1.84,754.6,437.12
205,242.205,241.665,99.78,3.37,1.84,757.97,438.96
206,242.1,241.575,99.78,3.38,1.84,761.35,440.8
207,241.92,241.38,99.78,3.37,1.84,764.72,442.64
208,241.83,241.285,99.78,3.37,1.84,768.09,444.48
209,241.695,241.15,99.78,3.37,1.84,771.46,446.32
210,241.545,241,99.77,3.37,1.84,774.83,448.16
211,241.425,240.865,99.77,3.37,1.84,778.2,450
212,241.285,240.73,99.77,3.37,1.84,781.57,451.84
213,241.105,240.565,99.77,3.37,1.83,784.94,453.67
214,240.985,240.43,99.77,3.37,1.83,788.31,455.5
215,240.835,240.28,99.77,3.37,1.83,791.68,457.33
216,240.67,240.115,99.77,3.37,1.83,795.05,459.16
217,240.52,239.965,99.77,3.37,1.83,798.42,460.99
218,240.385,239.83,99.77,3.37,1.83,801.79,462.82
219,240.205,239.635,99.76,3.36,1.83,805.15,464.65
220,240.04,239.47,99.76,3.36,1.83,808.51,466.48
221,239.89,239.32,99.76,3.36,1.83,811.87,468.31
222,239.68,239.11,99.76,3.36,1.82,815.23,470.13
223,239.515,238.945,99.76,3.36,1.82,818.59,471.95
224,239.38,238.81,99.76,3.36,1.82,821.95,473.77
225,239.23,238.645,99.76,3.36,1.82,825.31,475.59
226,239.08,238.495,99.75,3.36,1.82,828.67,477.41
227,238.81,238.21,99.75,3.36,1.82,832.03,479.23
228,238.63,238.045,99.75,3.36,1.82,835.39,481.05
229,238.51,237.925,99.75,3.36,1.81,838.75,482.86
230,238.315,237.715,99.75,3.36,1.81,842.11,484.67
231,238.135,237.55,99.75,3.35,1.81,845.46,486.48
232,237.985,237.385,99.75,3.35,1.81,848.81,488.29
233,237.79,237.175,99.74,3.35,1.81,852.16,490.1
234,237.61,236.98,99.74,3.35,1.81,855.51,491.91
235,237.46,236.83,99.74,3.35,1.81,858.86,493.72
236,237.295,236.68,99.74,3.35,1.8,862.21,495.52
237,237.07,236.455,99.74,3.34,1.8,865.55,497.32
238,236.905,236.275,99.73,3.34,1.8,868.89,499.12
239,236.74,236.095,99.73,3.34,1.8,872.23,500.92
240,236.575,235.93,99.73,3.34,1.8,875.57,502.72
241,236.35,235.69,99.72,3.33,1.8,878.9,504.52
242,236.155,235.51,99.72,3.33,1.8,882.23,506.32
243,235.975,235.315,99.72,3.33,1.79,885.56,508.11
244,235.78,235.105,99.71,3.32,1.79,888.88,509.9
245,235.6,234.905,99.7,3.32,1.79,892.2,511.69
246,235.39,234.695,99.7,3.32,1.79,895.52,513.48
247,235.21,234.5,99.7,3.32,1.79,898.84,515.27
248,234.935,234.215,99.69,3.31,1.79,902.15,517.06
249,234.77,234.02,99.68,3.31,1.78,905.46,518.84
250,234.545,233.78,99.68,3.31,1.78,908.77,520.62
251,234.305,233.54,99.67,3.3,1.78,912.07,522.4
252,234.035,233.225,99.66,3.3,1.78,915.37,524.18
253,233.825,232.985,99.64,3.3,1.78,918.67,525.96
254,233.555,232.685,99.63,3.29,1.77,921.96,527.73
255,233.24,232.34,99.61,3.29,1.77,925.25,529.5
256,232.88,231.95,99.6,3.28,1.77,928.53,531.27
257,232.595,231.605,99.57,3.28,1.77,931.81,533.04
258,232.25,231.2,99.55,3.28,1.76,935.09,534.8
259,231.965,230.87,99.52,3.27,1.76,938.36,536.56
260,231.56,230.39,99.5,3.26,1.76,941.62,538.32
261,231.065,229.85,99.47,3.26,1.75,944.88,540.07
262,230.555,229.28,99.44,3.25,1.75,948.13,541.82
263,229.985,228.615,99.41,3.25,1.74,951.38,543.56
264,229.4,227.97,99.38,3.24,1.74,954.62,545.3
265,228.735,227.265,99.36,3.23,1.73,957.85,547.03
266,228.03,226.5,99.33,3.22,1.73,961.07,548.76
267,227.355,225.78,99.3,3.22,1.72,964.29,550.48
268,226.62,225,99.28,3.21,1.72,967.5,552.2
269,225.855,224.22,99.28,3.2,1.71,970.7,553.91
270,225.06,223.41,99.27,3.19,1.7,973.89,555.61
271,224.31,222.66,99.27,3.18,1.7,977.07,557.31
272,223.545,221.905,99.27,3.18,1.69,980.25,559
273,222.78,221.14,99.26,3.16,1.69,983.41,560.69
274,222.04,220.435,99.27,3.16,1.68,986.57,562.37
275,221.305,219.73,99.29,3.15,1.68,989.72,564.05
276,220.615,219.055,99.29,3.14,1.67,992.86,565.72
277,219.97,218.41,99.29,3.14,1.67,996,567.39
278,219.34,217.78,99.29,3.13,1.66,999.13,569.05
279,218.68,217.135,99.3,3.12,1.66,1002.25,570.71
280,218.065,216.55,99.3,3.11,1.65,1005.36,572.36
281,217.495,215.975,99.3,3.11,1.65,1008.47,574.01
282,216.865,215.33,99.3,3.1,1.64,1011.57,575.65
283,216.295,214.775,99.3,3.09,1.64,1014.66,577.29
284,215.72,214.22,99.3,3.09,1.63,1017.75,578.92
285,215.18,213.68,99.3,3.08,1.63,1020.83,580.55
286,214.625,213.125,99.3,3.08,1.63,1023.91,582.18
287,214.07,212.57,99.3,3.07,1.62,1026.98,583.8
288,213.56,212.06,99.29,3.07,1.62,1030.05,585.42
289,213.065,211.55,99.29,3.06,1.61,1033.11,587.03
290,212.495,210.995,99.29,3.05,1.61,1036.16,588.64
291,211.91,210.41,99.29,3.04,1.6,1039.2,590.24
292,211.475,209.955,99.29,3.05,1.6,1042.25,591.84
293,210.95,209.43,99.28,3.04,1.6,1045.29,593.44
294,210.365,208.875,99.29,3.04,1.59,1048.33,595.03
295,209.835,208.35,99.29,3.03,1.59,1051.36,596.62
296,209.31,207.81,99.28,3.03,1.58,1054.39,598.2
297,208.845,207.33,99.28,3.02,1.58,1057.41,599.78
298,208.32,206.82,99.28,3.02,1.58,1060.43,601.36
299,207.81,206.31,99.28,3.01,1.57,1063.44,602.93
300,207.33,205.83,99.28,3,1.57,1066.44,604.5
301,206.85,205.335,99.27,3,1.57,1069.44,606.07
302,206.355,204.855,99.27,3,1.56,1072.44,607.63
303,205.86,204.345,99.26,2.99,1.56,1075.43,609.19
304,205.365,203.865,99.27,2.98,1.56,1078.41,610.75
305,204.84,203.335,99.27,2.97,1.55,1081.38,612.3
306,204.33,202.84,99.27,2.97,1.55,1084.35,613.85
307,203.91,202.39,99.26,2.96,1.54,1087.31,615.39
308,203.38,201.88,99.26,2.96,1.54,1090.27,616.93
309,202.945,201.43,99.26,2.95,1.54,1093.22,618.47
310,202.435,200.95,99.26,2.95,1.53,1096.17,620
311,201.97,200.47,99.26,2.94,1.53,1099.11,621.53
312,201.49,199.99,99.26,2.94,1.53,1102.05,623.06
313,201.01,199.51,99.25,2.93,1.52,1104.98,624.58
314,200.56,199.06,99.25,2.93,1.52,1107.91,626.1
315,200.065,198.565,99.25,2.92,1.51,1110.83,627.61
316,199.6,198.1,99.25,2.91,1.51,1113.74,629.12
317,199.12,197.62,99.25,2.91,1.51,1116.65,630.63
318,198.655,197.15,99.25,2.9,1.5,1119.55,632.13
319,198.19,55.755,28.13,2.9,0.42,1122.45,632.55
